,winner,loser,match score
117,Enrique Lopez-Perez,Evgeny Donskoy,64 64 
118,Mohamed Safwat,Taro Daniel,761 62 
119,Alessandro Giannessi,Mousa Shanan Zayed,62 61 
120,Vasek Pospisil,Jabor Al-Mutawa,62 62 
121,Gilles Muller,Daniel Evans,765 62 
122,Gilles Muller,Viktor Troicki,63 766 
123,Daniel Evans,Andrey Kuznetsov,62 36 63 
124,Daniel Evans,Dominic Thiem,36 64 61 
125,Gilles Muller,Pablo Cuevas,765 64 
126,Viktor Troicki,Philipp Kohlschreiber,(W/O)
127,Andrey Kuznetsov,Pablo Carreno Busta,26 64 61 
128,Dominic Thiem,Gastao Elias,675 63 75 
129,Pablo Cuevas,Nicolas Mahut,64 26 62 
130,Viktor Troicki,Paolo Lorenzi,63 64 
131,Pablo Carreno Busta,Mischa Zverev,36 764 63 
132,Philipp Kohlschreiber,Jordan Thompson,75 64 
133,Gilles Muller,Matthew Barton,61 36 64 
134,Daniel Evans,Marcel Granollers,16 63 63 
135,Andrey Kuznetsov,Alex de Minaur,62 (RET)
136,Philipp Kohlschreiber,Fabio Fognini,64 64 
137,Gilles Muller,Alexandr Dolgopolov,36 63 75 
138,Andrey Kuznetsov,Martin Klizan,26 61 30 (RET)
139,Marcel Granollers,Santiago Giraldo,675 75 63 
140,Matthew Barton,Kyle Edmund,763 765 
141,Alex de Minaur,Benoit Paire,63 36 761 
142,Gastao Elias,Christopher O'Connell,673 64 61 
143,Daniel Evans,Thiago Monteiro,63 46 63 
144,Paolo Lorenzi,Florian Mayer,764 46 765 
145,Nicolas Mahut,Thomaz Bellucci,62 762 
146,Jordan Thompson,Nikoloz Basilashvili,75 62 
147,Mischa Zverev,Nicolas Almagro,64 62 
148,Gastao Elias,Nikoloz Basilashvili,761 64 
149,Thiago Monteiro,Santiago Giraldo,63 61 
150,Matthew Barton,Mathias Bourgue,63 61 
151,Christopher O'Connell,Enrique Lopez-Perez,63 75 
152,Mathias Bourgue,Paul-Henri Mathieu,02 (RET)
153,Christopher O'Connell,Illya Marchenko,63 63 
154,Gastao Elias,Luca Vanni,64 46 62 
155,Thiago Monteiro,Thomas Fabbiano,57 767 63 
156,Matthew Barton,Mikhail Kukushkin,762 75 
157,Santiago Giraldo,Andrew Whittington,762 64 
158,Enrique Lopez-Perez,Dusan Lajovic,63 64 
159,Nikoloz Basilashvili,Rogerio Dutra Silva,64 63 
160,Jack Sock,Joao Sousa,63 57 63 
161,Jack Sock,Steve Johnson,64 63 
162,Joao Sousa,Marcos Baghdatis,61 75 
163,Steve Johnson,John Isner,63 57 763 
164,Jack Sock,Jeremy Chardy,57 64 63 
165,Marcos Baghdatis,Jiri Vesely,62 64 
166,Joao Sousa,Robin Haase,63 62 
167,John Isner,Malek Jaziri,63 36 766 
168,Robin Haase,David Ferrer,26 64 764 
169,Jack Sock,Ryan Harrison,765 46 61 
170,Jeremy Chardy,Feliciano Lopez,(W/O)
171,Steve Johnson,Yen-Hsun Lu,64 764 
172,Marcos Baghdatis,Dustin Brown,46 764 64 
173,Joao Sousa,Brydan Klein,63 64 
174,Jiri Vesely,Rubin Statham,676 75 63 
175,Joao Sousa,Albert Ramos-Vinolas,61 75 
176,Feliciano Lopez,Michael Venus,36 64 63 
177,Steve Johnson,Stephane Robert,64 63 
178,Marcos Baghdatis,Adrian Mannarino,64 64 
179,Dustin Brown,Michael Mmoh,764 36 64 
180,Jeremy Chardy,Artem Sitak,64 62 
181,Robin Haase,Finn Tearney,64 75 
182,Ryan Harrison,Guillermo Garcia-Lopez,61 62 
183,Malek Jaziri,Diego Schwartzman,761 63 
184,Brydan Klein,Facundo Bagnis,61 676 763 
185,Yen-Hsun Lu,Karen Khachanov,46 765 769 
186,Jiri Vesely,Horacio Zeballos,64 63 
187,Ryan Harrison,Rubin Statham,64 61 
188,Brydan Klein,Steven Diez,36 64 64 
189,Michael Mmoh,Jerzy Janowicz,763 63 
190,Finn Tearney,Cameron Norrie,61 63 
191,Ryan Harrison,Marcin Matkowski,64 64 
192,Steven Diez,Treat Huey,75 62 
193,Michael Mmoh,Greg Jones,61 61 
194,Cameron Norrie,Marcelo Demoliner,64 62 
195,Jerzy Janowicz,Krisjanis Stabins,64 64 
196,Brydan Klein,Masato Shiga,64 62 
197,Rubin Statham,Rhett Purcell,762 60 
198,Finn Tearney,Aisam-Ul-Haq Qureshi,46 75 (RET)
199,Roger Federer,Rafael Nadal,64 36 61 36 63 
200,Roger Federer,Stan Wawrinka,75 63 16 46 63 
201,Rafael Nadal,Grigor Dimitrov,63 57 765 674 64 
202,Rafael Nadal,Milos Raonic,64 767 64 
203,Stan Wawrinka,Jo-Wilfried Tsonga,762 64 63 
204,Grigor Dimitrov,David Goffin,63 62 64 
205,Roger Federer,Mischa Zverev,61 75 62 
206,Mischa Zverev,Andy Murray,75 57 62 64 
207,Milos Raonic,Roberto Bautista Agut,766 36 64 61 
208,Stan Wawrinka,Andreas Seppi,762 764 764 
209,Roger Federer,Kei Nishikori,674 64 61 46 63 
210,Rafael Nadal,Gael Monfils,63 63 46 64 
211,David Goffin,Dominic Thiem,57 764 62 62 
212,Jo-Wilfried Tsonga,Daniel Evans,674 62 64 64 
213,Grigor Dimitrov,Denis Istomin,26 762 62 61 
214,Andy Murray,Sam Querrey,64 62 64 
215,Milos Raonic,Gilles Simon,62 765 36 63 
216,Stan Wawrinka,Viktor Troicki,36 62 62 767 
217,Kei Nishikori,Lukas Lacko,64 64 64 
218,Gael Monfils,Philipp Kohlschreiber,63 761 64 
219,Dominic Thiem,Benoit Paire,61 46 64 64 
220,Rafael Nadal,Alexander Zverev,46 63 675 63 62 
221,Roger Federer,Tomas Berdych,62 64 64 
222,David Goffin,Ivo Karlovic,63 62 64 
223,Jo-Wilfried Tsonga,Jack Sock,764 75 678 63 
224,Roberto Bautista Agut,David Ferrer,75 676 763 64 
225,Grigor Dimitrov,Richard Gasquet,63 62 64 
226,Daniel Evans,Bernard Tomic,75 762 763 
227,Denis Istomin,Pablo Carreno Busta,64 46 64 46 62 
228,Andreas Seppi,Steve Darcis,46 64 761 762 
229,Mischa Zverev,Malek Jaziri,61 46 63 60 
230,Andy Murray,Andrey Rublev,63 60 62 
231,Denis Istomin,Novak Djokovic,768 57 26 765 64 
232,Milos Raonic,Gilles Muller,63 64 764 
233,Stan Wawrinka,Steve Johnson,63 64 64 
234,Kei Nishikori,Jeremy Chardy,63 64 63 
235,Gael Monfils,Alexandr Dolgopolov,63 64 16 60 
236,Daniel Evans,Marin Cilic,36 75 63 63 
237,Dominic Thiem,Jordan Thompson,62 61 676 64 
238,Rafael Nadal,Marcos Baghdatis,63 61 63 
239,Tomas Berdych,Ryan Harrison,63 766 62 
240,David Goffin,Radek Stepanek,64 60 63 
241,Jo-Wilfried Tsonga,Dusan Lajovic,62 62 63 
242,Roberto Bautista Agut,Yoshihito Nishioka,62 63 63 
243,Andreas Seppi,Nick Kyrgios,16 671 64 62 108 
244,Grigor Dimitrov,Hyeon Chung,16 64 64 64 
245,Roger Federer,Noah Rubin,75 63 763 
246,Richard Gasquet,Carlos Berlocq,61 61 61 
247,Mischa Zverev,John Isner,674 674 64 767 97 
248,Ivo Karlovic,Andrew Whittington,64 64 64 
249,David Ferrer,Ernesto Escobedo,26 64 64 62 
250,Jack Sock,Karen Khachanov,63 64 64 
251,Alexander Zverev,Frances Tiafoe,62 63 64 
252,Gilles Simon,Rogerio Dutra Silva,64 61 61 
253,Bernard Tomic,Victor Estrella Burgos,75 764 46 765 
254,Viktor Troicki,Paolo Lorenzi,63 16 763 36 63 
255,Pablo Carreno Busta,Kyle Edmund,62 64 62 
256,Sam Querrey,Alex de Minaur,765 60 61 
257,Philipp Kohlschreiber,Donald Young,75 63 60 
258,Steve Darcis,Diego Schwartzman,63 63 26 64 
259,Malek Jaziri,Alexander Bublik,62 63 75 
260,Lukas Lacko,Dudi Sela,26 63 62 64 
261,Benoit Paire,Fabio Fognini,763 46 63 36 63 
262,Andy Murray,Illya Marchenko,75 765 62 
263,Novak Djokovic,Fernando Verdasco,61 764 62 
264,Milos Raonic,Dustin Brown,63 64 62 
265,Stan Wawrinka,Martin Klizan,46 64 75 46 64 
266,Kei Nishikori,Andrey Kuznetsov,57 61 64 676 62 
267,Gael Monfils,Jiri Vesely,62 63 62 
268,Marin Cilic,Jerzy Janowicz,46 46 62 62 63 
269,Dominic Thiem,Jan-Lennard Struff,46 64 64 63 
270,Rafael Nadal,Florian Mayer,63 64 64 
271,Tomas Berdych,Luca Vanni,61 (RET)
272,David Goffin,Reilly Opelka,64 46 62 46 64 
273,Jo-Wilfried Tsonga,Thiago Monteiro,61 63 675 62 
