,Name,Age,Birthday,Height,Weight,Rank,Country Represent,Year Turned Pro,Wins,Losses,Handed,Backhand Style,Number of Coaches
4978,Steven Diez,32,1985.03.28,183,179.0,9,"Lausanne, Switzerland",2002.0,465,262,Right-Handed,Two-Handed Backhand,0
4979,Gleb Sakharov,31,1986.02.10,193,189.0,55,"Belgrade, Serbia",2006.0,282,250,Right-Handed,One-Handed Backhand,1
4980,Christian Garin,27,1989.12.29,178,165.0,22,"Shimane, Japan",2007.0,331,155,Right-Handed,Two-Handed Backhand,2
4981,Gianluigi Quinzi,30,1987.11.03,185,188.0,92,"Piestany, Slovakia",2005.0,85,128,Right-Handed,Two-Handed Backhand,1
4982,Alejandro Gonzalez,31,1986.09.01,193,177.0,46,"Paris, France",2004.0,411,232,Right-Handed,Two-Handed Backhand,1
4983,Vaclav Safranek,34,1983.10.16,178,154.0,29,"Augsburg, Germany",2001.0,423,322,Right-Handed,Two-Handed Backhand,1
4984,Maximo Gonzalez,24,1993.09.03,185,180.0,5,"Wiener Neustadt, Austria",2011.0,171,109,Right-Handed,One-Handed Backhand,1
4985,Petr Michnev,28,1989.05.08,196,176.0,41,"Avignon, France",2007.0,153,169,Right-Handed,One-Handed Backhand,1
4986,Yannick Hanfmann,31,1986.06.03,185,188.0,1,"Manacor, Mallorca, Spain",2001.0,873,185,Left-Handed,One-Handed Backhand,2
4987,Federico Gaio,20,1997.04.20,198,189.0,4,"Hamburg, Germany",2013.0,117,70,Right-Handed,Two-Handed Backhand,3
4988,Tatsuma Ito,36,1981.08.08,185,187.0,2,"Basel, Switzerland",1998.0,1132,250,Right-Handed,Two-Handed Backhand,2
4989,Matija Pecotic,32,1985.09.17,196,200.0,19,"Valasske Mezirici, CZE",2002.0,616,321,Right-Handed,Two-Handed Backhand,1
4990,Nicolas Jarry,26,1990.12.07,180,150.0,7,"Rocourt, Belgium",2009.0,201,128,Right-Handed,Two-Handed Backhand,1
4991,Lloyd Glasspool,38,1979.02.28,211,230.0,80,"Zagreb, Croatia",2000.0,346,307,Right-Handed,One-Handed Backhand,1
4992,Bradley Klahn,32,1985.04.17,188,200.0,15,"Le Mans, France",2004.0,426,195,Right-Handed,Two-Handed Backhand,1
4993,Soonwoo Kwon,25,1992.09.24,191,185.0,8,"Lincoln, NE, USA",2011.0,153,103,Right-Handed,Two-Handed Backhand,1
4994,Denis Kudla,29,1988.04.14,183,168.0,20,"Castellon de la Plana, Spain",2005.0,212,130,Right-Handed,Two-Handed Backhand,2
4995,Akira Santillan,35,1982.04.02,175,160.0,37,"Javea, Spain",2000.0,717,353,Right-Handed,Two-Handed Backhand,1
4996,Mackenzie McDonald,26,1991.05.16,191,176.0,3,"Haskovo, Bulgaria",2008.0,257,161,Right-Handed,Two-Handed Backhand,1
4997,Daniel Cox,31,1986.06.18,185,165.0,31,"Beziers, France",2002.0,486,280,Right-Handed,Two-Handed Backhand,1
4998,James McGee,27,1990.05.23,175,165.0,134,"Birmingham, England",2006.0,34,46,Right-Handed,Two-Handed Backhand,1
4999,Ruben Ramirez Hidalgo,25,1992.10.21,196,201.0,142,"Stuttgart, Germany",2008.0,169,158,Right-Handed,Two-Handed Backhand,1
5000,Vincent Millot,31,1986.09.07,188,194.0,63,"Orenburg, Russia",2004.0,211,227,Right-Handed,One-Handed Backhand,1
5001,Stefano Napolitano,26,1991.07.12,188,172.0,10,"Gijon, Spain",2009.0,111,110,Right-Handed,Two-Handed Backhand,2
5002,Nikola Milojevic,33,1984.02.21,191,165.0,86,"Bolzano, Italy",2002.0,327,350,Right-Handed,Two-Handed Backhand,1
5003,Enrique Lopez Perez,33,1984.03.13,178,169.0,77,"Liege, Belgium",2003.0,111,121,Right-Handed,Two-Handed Backhand,1
5004,Blake Mott,30,1987.08.22,191,194.0,33,"Moscow, Russia",2005.0,110,155,Left-Handed,Two-Handed Backhand,2
5005,Jeremy Jahn,33,1984.01.20,185,180.0,98,"Bizerte, Tunisia",2003.0,68,94,Right-Handed,Two-Handed Backhand,1
5006,Aleksandr Nedovyesov,30,1987.05.15,191,185.0,16,"Glasgow, Scotland",2005.0,655,184,Right-Handed,One-Handed Backhand,1
5007,Neil Pauffley,20,1997.10.20,188,150.0,39,"Moscow, Russia",2014.0,33,37,Right-Handed,Two-Handed Backhand,2
5008,Dennis Novikov,31,1986.09.07,188,194.0,63,"Orenburg, Russia",2004.0,211,227,Right-Handed,One-Handed Backhand,1
5009,Di Wu,30,1987.05.22,188,170.0,12,"Belgrade, Serbia",2003.0,783,163,Right-Handed,Two-Handed Backhand,1
5010,Sebastian Ofner,26,1990.12.27,196,216.0,24,"Podgorica, Montenegro",2008.0,288,132,Right-Handed,Two-Handed Backhand,0
5011,Kimmer Coppejans,34,1983.05.09,193,196.0,25,"Luxembourg City, Luxembourg",2001.0,223,194,Left-Handed,Two-Handed Backhand,3
5012,Roberto Quiroz,32,1985.03.28,183,179.0,9,"Lausanne, Switzerland",2002.0,465,262,Right-Handed,One-Handed Backhand,0
5013,Edward Corrie,27,1989.12.24,188,190.0,44,"Orange, CA, USA",2012.0,122,116,Right-Handed,Two-Handed Backhand,1
5014,Lukas Rosol,27,1989.12.29,178,165.0,22,"Shimane, Japan",2007.0,331,155,Right-Handed,One-Handed Backhand,2
5015,Jason Jung,30,1987.02.12,188,165.0,78,"Pau, France",2005.0,224,230,Right-Handed,Two-Handed Backhand,2
5016,Tim Smyczek,31,1986.09.01,193,177.0,46,"Paris, France",2004.0,411,232,Right-Handed,Two-Handed Backhand,1
5017,Yannick Maden,29,1988.11.07,180,157.0,38,"Kiev, Ukraine",2006.0,216,196,Right-Handed,One-Handed Backhand,1
5018,Stefano Travaglia,27,1990.05.23,175,165.0,134,"Birmingham, England",2006.0,34,46,Right-Handed,Two-Handed Backhand,1
5019,Salvatore Caruso,29,1988.09.28,198,196.0,6,"Medjugorje, Bosnia-Herzegovina",2005.0,435,232,Right-Handed,Two-Handed Backhand,2
5020,Alexander Ward,24,1993.09.03,185,180.0,5,"Wiener Neustadt, Austria",2011.0,171,109,Right-Handed,One-Handed Backhand,1
5021,Egor Gerasimov,23,1994.04.20,183,161.0,94,"Sydney, Australia",2013.0,16,29,Right-Handed,Two-Handed Backhand,1
5022,Grega Zemlja,31,1986.06.03,185,188.0,1,"Manacor, Mallorca, Spain",2001.0,873,185,Left-Handed,Two-Handed Backhand,2
5023,Ilya Ivashka,32,1985.06.17,178,181.0,103,"Limassol, Cyprus",2003.0,333,255,Right-Handed,Two-Handed Backhand,1
5024,David Ferrer,26,1991.05.16,191,176.0,3,"Haskovo, Bulgaria",2008.0,257,161,Right-Handed,One-Handed Backhand,1
5025,Alexandr Dolgopolov,27,1989.12.29,178,165.0,22,"Shimane, Japan",2007.0,331,155,Right-Handed,One-Handed Backhand,2
5026,David Ferrer,26,1991.05.16,191,176.0,3,"Haskovo, Bulgaria",2008.0,257,161,Right-Handed,Two-Handed Backhand,1
5027,Fernando Verdasco,26,1990.12.27,196,216.0,24,"Podgorica, Montenegro",2008.0,288,132,Right-Handed,Two-Handed Backhand,0
5028,Alexandr Dolgopolov,27,1989.12.29,178,165.0,22,"Shimane, Japan",2007.0,331,155,Right-Handed,One-Handed Backhand,2
5029,Andrey Kuznetsov,32,1985.03.28,183,179.0,9,"Lausanne, Switzerland",2002.0,465,262,Right-Handed,Two-Handed Backhand,0
5030,Fernando Verdasco,26,1990.12.27,196,216.0,24,"Podgorica, Montenegro",2008.0,288,132,Right-Handed,Two-Handed Backhand,0
5031,Albert Ramos-Vinolas,31,1986.06.03,185,188.0,1,"Manacor, Mallorca, Spain",2001.0,873,185,Left-Handed,Two-Handed Backhand,2
5032,Alexandr Dolgopolov,32,1985.03.28,183,179.0,9,"Lausanne, Switzerland",2002.0,465,262,Right-Handed,One-Handed Backhand,0
5033,Karen Khachanov,22,1995.01.08,188,184.0,50,"Johannesburg, South Africa",2012.0,53,63,Right-Handed,One-Handed Backhand,1
5034,Andrey Kuznetsov,27,1989.12.29,178,165.0,22,"Shimane, Japan",2007.0,331,155,Right-Handed,Two-Handed Backhand,2
5035,Diego Schwartzman,23,1994.04.20,183,161.0,94,"Sydney, Australia",2013.0,16,29,Right-Handed,Two-Handed Backhand,1
5036,David Ferrer,26,1991.05.16,191,176.0,3,"Haskovo, Bulgaria",2008.0,257,161,Right-Handed,Two-Handed Backhand,1
5037,Henri Laaksonen,24,1993.09.03,185,180.0,5,"Wiener Neustadt, Austria",2011.0,171,109,Right-Handed,Two-Handed Backhand,1
5038,Andrey Kuznetsov,26,1990.12.27,196,216.0,24,"Podgorica, Montenegro",2008.0,288,132,Right-Handed,One-Handed Backhand,0
5039,Pablo Carreno Busta,25,1992.08.16,170,141.0,26,"Buenos Aires, Argentina",2010.0,70,76,Right-Handed,One-Handed Backhand,1
5040,Albert Ramos-Vinolas,32,1985.03.28,183,179.0,9,"Lausanne, Switzerland",2002.0,465,262,Right-Handed,Two-Handed Backhand,0
5041,Thiago Monteiro,31,1986.02.10,193,189.0,55,"Belgrade, Serbia",2006.0,282,250,Right-Handed,Two-Handed Backhand,1
5042,Henri Laaksonen,27,1989.12.29,178,165.0,22,"Shimane, Japan",2007.0,331,155,Right-Handed,Two-Handed Backhand,2
5043,Pablo Cuevas,21,1996.10.09,188,165.0,54,"Providence, RI, USA",2014.0,32,44,Right-Handed,Two-Handed Backhand,1
